Player != East,20,25,30,40,50,60,70,80,90,100,110
1,None/None/None,None/None/None,1000/300/500,1300/400/700,1600/400/800,2000/500/1000,2300/600/1200,2600/700/1300,2900/800/1500,3200/800/1600,3600/None/None
2,None/400/700,1600/None/None,2000/500/1000,2600/700/1300,3200/800/1600,3900/1000/2000,4500/1200/2300,5200/1300/2600,5800/1500/2900,6400/1600/3200,7100/1800/3600
3,None/700/1300,3200/800/1600,3900/1000/2000,5200/1300/2600,6400/1600/3200,7700/2000/3900,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000
4,None/1300/2600,6400/1600/3200,7700/2000/3900,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000
5,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000,8000/2000/4000
6,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000
7,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000,12000/3000/6000
8,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000
9,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000
10,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000,16000/4000/8000
11,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000
12,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000,24000/6000/12000
13,32000/8000/16000,32000/8000/16000,32000/8000/16000,32000/8000/16000,32000/8000/16000,32000/8000/16000,32000/8000/16000,32000/8000/16000,32000/8000/16000,32000/8000/16000,32000/8000/16000
